protein1,protein2,symbol1,symbol2,coexpression_both_prior_corrected,experiments_both_prior_corrected,textmining_both_prior_corrected,combined_score
9606.ENSP00000257770,9606.ENSP00000284878,NT5E,CXADR,0.006256517205422307,0.0,0.12420719793058688,100
9606.ENSP00000257770,9606.ENSP00000351209,NT5E,EPHA2,0.07194994786235664,0.0,0.20253435702161937,244
9606.ENSP00000257770,9606.ENSP00000347379,NT5E,OCLN,0.017726798748696537,0.0,0.1826078825157854,196
9606.ENSP00000257770,9606.ENSP00000261769,NT5E,CDH1,0.0,0.004171011470281538,0.3670490093847758,392
9606.ENSP00000257770,9606.ENSP00000427552,NT5E,DDR1,0.0,0.26173096976016685,0.03649635036496346,317
9606.ENSP00000257770,9606.ENSP00000367817,NT5E,PODXL,0.04171011470281538,0.0,0.17292191531628898,234
9606.ENSP00000257770,9606.ENSP00000265371,NT5E,NRP1,0.08759124087591241,0.0,0.3461939520333681,427
9606.ENSP00000257770,9606.ENSP00000379350,NT5E,ITGB1,0.058394160583941646,0.0,0.8837422976010161,887
9606.ENSP00000257770,9606.ENSP00000296585,NT5E,ITGA2,0.07434860565783141,0.0,0.4175349931117419,455
9606.ENSP00000257770,9606.ENSP00000275493,NT5E,EGFR,0.10114702815432741,0.0,0.5401459854014599,603
9606.ENSP00000257770,9606.ENSP00000287097,NT5E,CD109,0.08493705969787346,0.0,0.23262087615162208,290
9606.ENSP00000257770,9606.ENSP00000376197,NT5E,TFRC,0.028154327424400383,0.0,0.5305372188835041,519
9606.ENSP00000257770,9606.ENSP00000320084,NT5E,CD276,0.09000947067515797,0.0,0.456725755995829,493
9606.ENSP00000257770,9606.ENSP00000261023,NT5E,ITGAV,0.052701969487246036,0.0,0.4280973511467564,455
9606.ENSP00000257770,9606.ENSP00000357005,NT5E,F11R,0.06562601597727913,0.0,0.0813347236704901,119
9606.ENSP00000257770,9606.ENSP00000418754,NT5E,PTK7,0.007299270072992692,0.1021897810218978,0.027111574556829998,73
9606.ENSP00000257770,9606.ENSP00000339477,NT5E,ICOSLG,0.014598540145985384,0.0,0.28884254431699685,317
9606.ENSP00000257770,9606.ENSP00000296129,NT5E,CDCP1,0.027111574556829998,0.0,0.28418658208661474,241
9606.ENSP00000257770,9606.ENSP00000269571,NT5E,ERBB2,0.0,0.0,0.3253388946819604,353
9606.ENSP00000257770,9606.ENSP00000360269,NT5E,TACSTD2,0.027111574556829998,0.0,0.13138686131386867,189
9606.ENSP00000257770,9606.ENSP00000308208,NT5E,MMP14,0.11426896934915476,0.0,0.14077163712200202,259
9606.ENSP00000257770,9606.ENSP00000358501,NT5E,CD58,0.012513034410844615,0.0,0.2586027111574556,297
9606.ENSP00000257770,9606.ENSP00000358470,NT5E,VTCN1,0.014598540145985384,0.0,0.3633705600093945,347
9606.ENSP00000257770,9606.ENSP00000327290,NT5E,ITGA11,0.031055333316660882,0.0,0.23199892136512557,216
9606.ENSP00000260408,9606.ENSP00000264012,ADAM10,CDH3,0.0,0.0,0.14045413572749688,136
9606.ENSP00000260408,9606.ENSP00000367202,ADAM10,RECK,0.016684045881126153,0.0,0.38684065453129945,367
9606.ENSP00000260408,9606.ENSP00000269571,ADAM10,ERBB2,0.017726798748696537,0.0,0.40932236286277524,418
9606.ENSP00000260408,9606.ENSP00000308208,ADAM10,MMP14,0.008342022940563076,0.0,0.5876439765527394,574
9606.ENSP00000260408,9606.ENSP00000296585,ADAM10,ITGA2,0.013555787278414999,0.013555787278414999,0.18561001042752867,229
9606.ENSP00000260408,9606.ENSP00000278742,ADAM10,ST14,0.006256517205422307,0.08967674661105318,0.24555905797771171,317
9606.ENSP00000260408,9606.ENSP00000357065,ADAM10,IGSF8,0.0,0.060479666319082415,0.2940563086548489,323
9606.ENSP00000260408,9606.ENSP00000376899,ADAM10,PTGFRN,0.019812304483837306,0.26173096976016685,0.29509906152241916,510
9606.ENSP00000260408,9606.ENSP00000379350,ADAM10,ITGB1,0.08966152394145355,0.005213764337851923,0.5114044978639333,546
9606.ENSP00000260408,9606.ENSP00000386766,ADAM10,SLC39A10,0.12024495450052797,0.0,0.09176225234619395,98
9606.ENSP00000260408,9606.ENSP00000265371,ADAM10,NRP1,0.03441084462982269,0.0,0.21005761780443433,249
9606.ENSP00000260408,9606.ENSP00000283249,ADAM10,ITGB6,0.08966152394145355,0.005213764337851923,0.04588112617309703,125
9606.ENSP00000260408,9606.ENSP00000357005,ADAM10,F11R,0.07522282182626372,0.0,0.27737226277372273,349
9606.ENSP00000260408,9606.ENSP00000261023,ADAM10,ITGAV,0.09697601668404587,0.013555787278414999,0.12304483837330549,240
9606.ENSP00000260408,9606.ENSP00000309124,ADAM10,OLR1,0.008342022940563076,0.0,0.1710114702815433,211
9606.ENSP00000260408,9606.ENSP00000262461,ADAM10,SLC12A2,0.08475438766267873,0.0,0.05213764337851934,122
9606.ENSP00000260408,9606.ENSP00000332118,ADAM10,EPHB3,0.046923879040667305,0.0,0.16866065516195294,177
9606.ENSP00000260408,9606.ENSP00000275493,ADAM10,EGFR,0.018751066946038897,0.0,0.5181046471548287,526
9606.ENSP00000260408,9606.ENSP00000376197,ADAM10,TFRC,0.004171011470281538,0.0,0.20874738088532874,237
9606.ENSP00000260408,9606.ENSP00000383053,ADAM10,EPHB2,0.04990534761509691,0.0,0.314119787187079,323
9606.ENSP00000260408,9606.ENSP00000269187,ADAM10,SLC39A6,0.12965691364723197,0.0,0.07820646506777895,143
9606.ENSP00000260408,9606.ENSP00000427552,ADAM10,DDR1,0.015641293013555768,0.0,0.1710114702815433,205
9606.ENSP00000260408,9606.ENSP00000261769,ADAM10,CDH1,0.015641293013555768,0.0,0.5179371977892335,523
9606.ENSP00000260408,9606.ENSP00000351209,ADAM10,EPHA2,0.047917701898810505,0.0,0.2434104868970871,251
9606.ENSP00000260408,9606.ENSP00000347379,ADAM10,OCLN,0.0031282586027111536,0.0,0.2043795620437956,239
9606.ENSP00000260408,9606.ENSP00000261590,ADAM10,DSG2,0.013555787278414999,0.0,0.29293091843802355,315
9606.ENSP00000260408,9606.ENSP00000497069,ADAM10,IGF1R,0.015641293013555768,0.06465067778936395,0.5665072998137397,603
9606.ENSP00000260408,9606.ENSP00000263735,ADAM10,EPCAM,0.0031282586027111536,0.0,0.2669447340980188,299
9606.ENSP00000260408,9606.ENSP00000315190,ADAM10,ITGA3,0.0010427528675703845,0.013555787278414999,0.14077163712200202,176
9606.ENSP00000260408,9606.ENSP00000264832,ADAM10,ICAM1,0.008342022940563076,0.0,0.32221063607924916,355
9606.ENSP00000260408,9606.ENSP00000313875,ADAM10,CD46,0.37628916983171334,0.0,0.17935349322210636,501
9606.ENSP00000260408,9606.ENSP00000351605,ADAM10,FZD6,0.04379562043795615,0.0,0.07667984877365075,117
9606.ENSP00000260408,9606.ENSP00000280904,ADAM10,DSC2,0.028154327424400383,0.0,0.15704467092393992,149
9606.ENSP00000260408,9606.ENSP00000493716,ADAM10,EFNB2,0.0010427528675703845,0.0,0.38839662883108383,368
9606.ENSP00000260408,9606.ENSP00000380227,ADAM10,ITGA4,0.07924921793534934,0.013555787278414999,0.12269145497188694,215
9606.ENSP00000260408,9606.ENSP00000398632,ADAM10,CD44,0.03441084462982269,0.0,0.455167607028959,490
9606.ENSP00000260408,9606.ENSP00000267101,ADAM10,ERBB3,0.017726798748696537,0.0,0.2934234805329239,305
